num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
1000,5,0.0,1260000,3445900,0,0.0,0,0,0,3445900,4705900,4705900,4705900.0,1.934081792831421,1.934081792831421
5000,5,0.0,25050000,19544100,0,0.0,0,0,0,19544100,44594100,44594100,44594100.0,18.390856981277462,18.390856981277462
1000,5,0.0,2515000,3445900,4125800,1.0,0,0,0,7571700,10086700,10086700,5043350.0,2.062208890914917,4.124417781829834
5000,5,0.0,50075000,19544100,9788300,1.0,0,0,0,29332400,79407400,79407400,39703700.0,16.419119477272034,32.83823895454407
1000,5,0.0,2515000,3445900,4125800,1.0,0,0,0,7571700,10086700,10086700,5043350.0,2.0696823596954346,4.139364719390869
5000,5,0.0,50075000,19544100,9788300,1.0,0,0,0,29332400,79407400,79407400,39703700.0,16.34088683128357,32.68177366256714
1000,5,86.80412292480469,3770000,3445900,6939200,2.0,0,0,0,10385100,14155100,14155100,4718366.666666667,1.9462065696716309,5.838619709014893
5000,5,87.5876235961914,75100000,19544100,23274500,2.0,0,0,0,42818600,117918600,117918600,39306200.0,16.27580189704895,48.82740569114685
1000,5,86.80412292480469,3770000,3445900,6939200,2.0,0,0,0,10385100,14155100,14155100,4718366.666666667,1.93927001953125,5.81781005859375
1000,5,86.80412292480469,3770000,3445900,6939200,2.0,0,0,0,10385100,14155100,14155100,4718366.666666667,1.9349483648935955,5.804845094680786
1000,5,86.80412292480469,3770000,3445900,6939200,2.0,0,0,0,10385100,14155100,14155100,4718366.666666667,1.9337983131408691,5.801394939422607
1000,5,86.80412292480469,3770000,3445900,6939200,1.0,0,0,0,10385100,14155100,14155100,7077550.0,2.899926543235779,5.799853086471558
